loss_train,loss_test,acc_train,acc_test
2.230969906806946,1.205606048107147,0.13856,0.572
1.9502333326339722,,0.27878,
1.8788811311721803,,0.31008,
1.7889165015220643,,0.34842,
1.7080574140548705,,0.37774,
1.652728572845459,,0.39532,
1.614946081638336,,0.41158,
1.5801049790382384,,0.42248,
1.5506766424179077,,0.4352,
1.5277558126449584,,0.4447,
1.504122073173523,,0.45306,
1.4895596013069152,,0.45838,
1.4699094076156616,,0.46574,
1.453711103439331,,0.472,
1.4365678758621216,,0.47836,
1.420774806022644,,0.48336,
1.4015496892929078,,0.49126,
1.390793068408966,,0.49552,
1.3738136906623841,,0.50222,
1.3555245428085327,,0.50982,
1.3508702263832093,,0.51126,
1.3365966997146606,,0.5164,
1.3176416373252868,,0.5262,
1.3081741456985474,,0.5269,
1.298010705947876,,0.53064,
1.2917625665664674,,0.5357,
1.279403118610382,,0.54006,
1.2696227254867554,,0.54498,
1.2628349380493165,,0.54772,
1.2561723260879516,,0.54758,
1.2462643814086913,,0.55494,
1.2383694281578064,,0.55738,
1.237920193195343,,0.55816,
1.2243030753135682,,0.56282,
1.2181141695976256,,0.5652,
1.2105617501735688,,0.56736,
1.2062758979797363,,0.5704,
1.2007651143074036,,0.57316,
1.1921957755088806,,0.5745,
1.1886769161224364,,0.57718,
1.1786607971191407,,0.58,
1.1747272937297821,,0.58214,
1.1713316113948822,,0.5825,
1.1644881336688995,,0.5845,
1.160357013463974,,0.58864,
1.1586410462856294,,0.5874,
1.1501629557609558,,0.59006,
1.1465978860855102,,0.59294,
1.1389123480319976,,0.5957,
1.1359621360301972,,0.5963,
