loss_train,loss_test,acc_train,acc_test
2.305085718154907,1.1271835386753082,0.09774,0.5959
2.3027578620910645,,0.1019,
2.2280013737678526,,0.15382,
1.9625439853668214,,0.28302,
1.806858099937439,,0.34342,
1.7198631238937379,,0.37652,
1.666843815803528,,0.39974,
1.6214246520996094,,0.418,
1.5826322827339172,,0.43462,
1.5498336505889894,,0.44496,
1.520907337665558,,0.45726,
1.493499698162079,,0.47018,
1.4672703185081482,,0.47982,
1.4445607194900512,,0.48898,
1.4263773312568664,,0.49378,
1.399746440410614,,0.5041,
1.3877213139533997,,0.50876,
1.370877465248108,,0.51538,
1.3542334532737732,,0.5223,
1.340924533367157,,0.52882,
1.3300312757492065,,0.53024,
1.318421667098999,,0.53548,
1.3007812271118164,,0.5436,
1.2921071600914003,,0.54654,
1.2824220585823058,,0.55162,
1.2703556909561158,,0.55454,
1.2643396310806274,,0.55766,
1.247860966682434,,0.56142,
1.2423969931602479,,0.56418,
1.229870731830597,,0.5699,
1.2223375563621521,,0.57024,
1.2151151309013366,,0.5761,
1.204557797431946,,0.57794,
1.2045220537185668,,0.57864,
1.1889260635375976,,0.58496,
1.1868020853996277,,0.58364,
1.1766291704177856,,0.58946,
1.168925308942795,,0.591,
1.1674132118225098,,0.5942,
1.1570821104049682,,0.59654,
1.1541635897159577,,0.59832,
1.1477601916790008,,0.60082,
1.1394724712371826,,0.60364,
1.1339026675224304,,0.60454,
1.1320713579654693,,0.60332,
1.1217851963043213,,0.61002,
1.1169964265823364,,0.6126,
1.1139724502563477,,0.61228,
1.1091637439727784,,0.61434,
1.102288498401642,,0.61594,
