loss_train,loss_test,acc_train,acc_test
2.305864576339722,1.1271835386753082,0.09966,0.5959
2.10793926858902,,0.20482,
1.7728310523033142,,0.35662,
1.6623106532096863,,0.39398,
1.5892438750267028,,0.42124,
1.531602942466736,,0.44524,
1.485143518447876,,0.46212,
1.441874909877777,,0.4807,
1.4069417185783386,,0.49106,
1.3736225814819336,,0.50536,
1.3506727108955383,,0.515,
1.3253337631225586,,0.52158,
1.3014954733848572,,0.53422,
1.282278681755066,,0.53854,
1.2650232400894166,,0.54862,
1.2463184952735902,,0.55382,
1.2290300726890564,,0.56236,
1.2113639912605285,,0.57214,
1.1966093122959136,,0.57648,
1.180927255630493,,0.58084,
1.1694251861572265,,0.58534,
1.1563651294708253,,0.59134,
1.1427337663173676,,0.5989,
1.1358391258716583,,0.59924,
1.1198302104473115,,0.60482,
1.1071441740989685,,0.61068,
1.1016151456832886,,0.61332,
1.0834987666606903,,0.61762,
1.075795846939087,,0.62108,
1.062100051164627,,0.62604,
1.057489565372467,,0.62782,
1.0477701337337495,,0.63186,
1.039944665670395,,0.63598,
1.027784138917923,,0.63898,
1.024130139350891,,0.64004,
1.0133547866344452,,0.64394,
1.007435481786728,,0.6465,
1.0013332376480102,,0.64614,
0.993355062007904,,0.64996,
0.9860803437232971,,0.65442,
0.9780598514080048,,0.65628,
0.9704515571594239,,0.65882,
0.9657627613544464,,0.66134,
0.9628023593425751,,0.66192,
0.9509295175075531,,0.66618,
0.9454976027011871,,0.66778,
0.9462428605556488,,0.66642,
0.937601288318634,,0.67058,
0.9300123331546784,,0.67352,
0.9277196500301361,,0.67322,
