accuracy,loss
1.0,0.0006140335525099257
1.0,0.000579747976344817
1.0,0.0005523405210313773
1.0,0.0005380531816271974
1.0,0.0005157545898194857
1.0,0.0005004801812280742
1.0,0.00048234283877252715
1.0,0.00046651113140198014
1.0,0.0004545521896500027
1.0,0.00044219175771747647
1.0,0.0004275125476585633
1.0,0.00041865125719440827
1.0,0.00041244069693564643
1.0,0.00040119832893407607
1.0,0.00039411553725807516
1.0,0.00038718559535038543
1.0,0.00038196172805860776
1.0,0.00037587784213317764
1.0,0.00036948891913819287
1.0,0.00035995466381924724
1.0,0.00035691678816120414
1.0,0.0003520335118171316
1.0,0.0003458553398625709
1.0,0.0003415823859274785
1.0,0.00033584576460004716
1.0,0.00033063531204456144
1.0,0.0003305218827047544
1.0,0.0003260602819110074
1.0,0.0003231450305398406
1.0,0.00031810570815251574
1.0,0.0003153006417539096
1.0,0.00031564903252817713
1.0,0.0003129090257017396
1.0,0.0003088534393144783
1.0,0.0003050718186408985
1.0,0.00030147659646633944
1.0,0.0002996582356345465
1.0,0.0002959325149010799
1.0,0.0002945070746801964
1.0,0.0002906572736697499
1.0,0.00028875418528758286
1.0,0.0002898997500313094
1.0,0.0002870565448375135
1.0,0.00028416134272247736
1.0,0.000281834014547313
1.0,0.00027973367593026857
1.0,0.00027871381151759654
1.0,0.0002771359087513169
1.0,0.000277352622971393
1.0,0.00027505283686900283
