R,gear,DoS,RPM,Fuzzy
0.034396347404051925,0.17291523969380612,0.2347325047737094,0.2309619128874888,0.6019854906452845
0.4347649897307679,0.15585178048578546,0.33107768583967034,0.1185382074336593,0.046200840015273005
0.16419925296955762,0.17009265601360862,0.352567753174098,0.19335061582551247,0.06147384497899962
0.2574532492931945,0.08989364504693016,0.19677732739271717,0.7967447660300584,0.45208094692630774
0.08428189725989284,0.20608624310348722,0.19384610230813037,0.2574489728949268,0.31576937762504775
0.02521109850446153,0.12251518550019946,0.2315667816823557,0.1377677145544836,0.5489881634211531
0.0431710156463926,0.10578290944398865,0.11845499313255838,0.7500382840016626,0.3519663993890798
0.7967443406046351,0.4258112105496888,0.2903420320927272,0.9119796110345431,0.09988545246277206
0.13776930208519014,0.31979496752147046,0.45114066530434493,0.43476406116689637,0.3209621993127148
0.30940081946366094,0.5456769308354095,0.31687380657264413,1.0,0.05513554791905308
0.015955428420166742,0.1697163115229156,0.25811530601989885,0.13878497517009036,0.10156548300878197
1.0,0.38832729927666587,0.16473484975377709,0.7147732493272954,0.11134020618556702
0.07162274616841163,0.22597228599170538,0.05798800710193963,0.3900319397956728,0.05605192821687667
0.11853771667482484,1.0,1.0,0.8971199492463521,1.0
0.1262356324278238,0.17378083202240002,0.32580148068741416,0.23481765876922403,0.08415425735013364
